citing,cited
8947625,8462138
8947625,8462014
8947625,8462032
8947625,8462238
8947625,3781806
8947625,7640818
8947625,8462034
8947625,8462161
8947625,8461913
8947625,8461978
8947625,8462346
8947625,8462158
8947625,3781881
8947625,3781496
8947625,3781559
8947625,8462339
8947625,8462017
8947625,8462143
8947625,8462200
8947625,3781344
8947625,3781488
8947625,8461921
8947625,8461871
8947625,8462022
8947625,8462309
8947625,8461857
8947625,8462157
8947625,8462054
8947625,10215369
8947625,3781510
8947625,3782127
8947625,8461868
8947625,8461982
8462065,8462138
8462065,8462158
8462065,8462339
8462065,3781344
8462065,8462022
8462065,10215369
8462065,8461868
8462201,8462032
8462201,3781806
8462201,8462158
8462201,8462339
8462201,3781344
8462201,8461871
8462201,8462054
8462065,8462032
8462065,3781806
8462065,8462161
8462065,3781559
8462065,8462200
8462065,8461871
8462065,8462054
8462201,8462161
8462201,3781559
8462201,8462200
8462201,8462309
8462201,3781510
8462065,3781512
8462065,7640818
8462065,8461913
8462065,8462017
8462065,8461857
8462065,8461982
8462201,8462014
8462201,8462034
8462201,8462346
8462201,3781496
8462201,8462143
8462201,8461921
8462201,8461857
8462201,8461982
8462065,8462014
8462065,8462034
8462065,8462346
8462065,3781496
8462065,8462143
8462065,8461921
8462065,8462157
8462065,3782127
8462201,8462138
8462201,8462238
8462201,8461913
8462201,3781488
8462201,8462022
8462201,10215369
8462201,8461868
8462065,8462238
8462065,8461978
8462065,3781881
8462065,3781488
8462065,8462309
8462065,3781510
8462201,3781512
8462201,7640818
8462201,8461978
8462201,3781881
8462201,8462017
8462201,8462157
8462201,3782127
8462309,3781344
8462309,3781806
8462309,7640818
8462157,3781806
8462157,7640818
8461857,3781344
8461857,3781496
8461857,3781559
8461857,3781512
8461857,3781881
8461857,3781806
8461982,3781488
8461982,7640818
8461982,3781344
366380,3781512
366380,8462138
366380,8462014
366380,8462032
366380,8462238
366380,3781806
366380,7640818
366380,8462034
366380,8462161
366380,8461913
366380,8461978
366380,8462346
366380,8462158
366380,3781881
366380,3781496
366380,3781559
366380,8462339
366380,8462017
366380,8462143
366380,8462200
366380,3781344
366380,3781488
366380,8461921
366380,8461871
366380,8462022
366380,8462309
366380,8461857
366380,8462157
366380,8462054
366380,10215369
366380,3781510
366380,3782127
366380,8461868
366380,8461982
366380,8462065
366380,8462201
366250,366369
366250,366383
366250,366244
366250,366269
366250,366387
366250,366282
366250,366354
366250,366388
366250,366225
366250,3781512
366250,8462138
366250,8462014
366250,8462032
366250,8462238
366250,3781806
366250,7640818
366250,8462034
366250,8462161
366250,8461913
366250,8461978
366250,8462346
366250,8462158
366250,3781881
366250,3781496
366250,3781559
366250,8462339
366250,8462017
366250,8462143
366250,8462200
366250,3781344
366250,3781488
366250,8461921
366250,8461871
366250,8462022
366250,8462309
366250,8461857
366250,8462157
366250,8462054
366250,10215369
366250,3781510
366250,3782127
366250,8461868
366250,8461982
366250,8462065
366250,8462201
366307,3781512
366307,8462138
366307,8462014
366307,8462032
366307,8462238
366307,3781806
366307,7640818
366307,8462034
366307,8462161
366307,8461913
366307,8461978
366307,8462346
366307,8462158
366307,3781881
366307,3781496
366307,3781559
366307,8462339
366307,8462017
366307,8462143
366307,8462200
366307,3781344
366307,3781488
366307,8461921
366307,8461871
366307,8462022
366307,8462309
366307,8461857
366307,8462157
366307,8462054
366307,10215369
366307,3781510
366307,3782127
366307,8461868
366307,8461982
366307,8462065
366307,8462201
366307,11181047
366307,366369
366307,366383
366307,366244
366307,366269
366341,3781512
366341,8462138
366341,8462014
366341,8462032
366341,8462238
366341,3781806
366341,7640818
366341,8462034
366341,8462161
366341,8461913
366341,8461978
366341,8462346
366341,8462158
366341,3781881
366341,3781496
366341,3781559
366341,8462339
366341,8462017
366341,8462143
366341,8462200
366341,3781344
366341,3781488
366341,8461921
366341,8461871
366341,8462022
366341,8462309
366341,8461857
366341,8462157
366341,8462054
366341,10215369
366341,3781510
366341,3782127
366341,8461868
366341,8461982
366341,8462065
366341,8462201
366275,3781512
366275,8462138
366275,8462014
366275,8462032
366275,8462238
366275,3781806
366275,7640818
366275,8462034
366275,8462161
366275,8461913
366275,8461978
366275,8462346
366275,8462158
366275,3781881
366275,3781496
366275,3781559
366275,8462339
366275,8462017
366275,8462143
366275,8462200
366275,3781344
366275,3781488
366275,8461921
366275,8461871
366275,8462022
366275,8462309
366275,8461857
366275,8462157
366275,8462054
366275,10215369
366275,3781510
366275,3782127
366275,8461868
366275,8461982
366275,8462065
366275,8462201
366275,8947625
366369,3781512
366369,8462138
366369,8462014
366369,8462032
366369,8462238
366369,3781806
366369,7640818
366369,8462034
366369,8462161
366369,8461913
366369,8461978
366369,8462346
366369,8462158
366369,3781881
366369,3781496
366369,3781559
366369,8462339
366369,8462017
366369,8462143
366369,8462200
366369,3781344
366369,3781488
366369,8461921
366369,8461871
366369,8462022
366369,8462309
366369,8461857
366369,8462157
366369,8462054
366369,10215369
366369,3781510
366369,3782127
366369,8461868
366369,8461982
366369,8947625
366387,3781512
366387,8462138
366387,8462014
366387,8462032
366387,8462238
366387,3781806
366387,7640818
366387,8462034
366387,8462161
366387,8461913
366387,8461978
366387,8462346
366387,8462158
366387,3781881
366387,3781496
366387,3781559
366387,8462339
366387,8462017
366387,8462143
366387,8462200
366387,3781344
366387,3781488
366387,8461921
366387,8461871
366387,8462022
366387,8462309
366387,8461857
366387,8462157
366387,8462054
366387,10215369
366387,3781510
366387,3782127
366387,8461868
366387,8461982
366253,11181047
366253,366369
366253,366383
366253,366244
366253,366269
366253,366387
366253,3781512
366253,8462138
366253,8462014
366253,8462032
366253,8462238
366253,3781806
366253,7640818
366253,8462034
366253,8462161
366253,8461913
366253,8461978
366253,8462346
366253,8462158
366253,3781881
366253,3781496
366253,3781559
366253,8462339
366253,8462017
366253,8462143
366253,8462200
366253,3781344
366253,3781488
366253,8461921
366253,8461871
366253,8462022
366253,8462309
366253,8461857
366253,8462157
366253,8462054
366253,10215369
366253,3781510
366253,3782127
366253,8461868
366253,8461982
366253,8462065
366253,8462201
366337,366349
366337,366283
366337,366341
366337,366256
366337,3781512
366337,8462138
366337,8462014
366337,8462032
366337,8462238
366337,3781806
366337,7640818
366337,8462034
366337,8462161
366337,8461913
366337,8461978
366337,8462346
366337,8462158
366337,3781881
366337,3781496
366337,3781559
366337,8462339
366337,8462017
366337,8462143
366337,8462200
366337,3781344
366337,3781488
366337,8461921
366337,8461871
366337,8462022
366337,8462309
366337,8461857
366337,8462157
366337,8462054
366337,10215369
366337,3781510
366337,3782127
366337,8461868
366337,8461982
366323,3781512
366323,8462138
366323,8462014
366323,8462032
366323,8462238
366323,3781806
366323,7640818
366323,8462034
366323,8462161
366323,8461913
366323,8461978
366323,8462346
366323,8462158
366323,3781881
366323,3781496
366323,3781559
366323,8462339
366323,8462017
366323,8462143
366323,8462200
366323,3781344
366323,3781488
366323,8461921
366323,8461871
366323,8462022
366323,8462309
366323,8461857
366323,8462157
366323,8462054
366323,10215369
366323,3781510
366323,3782127
366323,8461868
366323,8461982
366323,366387
366323,366282
366323,366354
366323,366388
366323,366225
366323,366275
366323,366349
366323,366283
366323,366341
366323,366256
366225,3781512
366225,8462138
