id,doi,title,abstract
366225,10.1515/joc-2022-0272,Optical fiber signal strength based on Raman optical amplifiers schemes in dense wavelength multiplexed communication systems,"This study has clarified the optical fiber signal strength based on Raman fiber optic amplifiers schemes in dense wavelength multiplexed communication systems. The signal power with, without Amplification in various pumping configurations scheme is studied with propagation distance variations. The bidirectional pumping power configuration based various pump power is analyzed with propagation distance variations. Amplified forward signal power for various fiber types is investigated with propagation distance variations. These fibers are used such as single mode (SM)-28 fiber, non-zero dispersion shifted fiber (NZDSF), truewave reach fiber for the efficient employment in fiber systems. Amplified bidirectional signal power for various both pump power and fiber types are clarified with propagation distance variations. The pumping power configurations scheme variations are demonstrated with propagation distance variations. Forward/backward pumping power configuration direction variations are investigated and clarified with propagation distance variations for various pumping power values."
366228,10.1515/joc-2023-0033,Various RZ percentage duty cycle coding with NRZ modulation technique signature on the fiber system performance,This study has clarified various RZ Percentage Duty Cycle Coding with NRZ modulation Technique Signature on The Fiber System Performance. The total form lighted/electrical power after linear measured multimode fiber/FSO channel measured based different RZ percentage duty cycle coding with the assistance of NRZ modulation techniques is performed. The electrical/lighted form measured power after APD receiver with linear multimode fiber/FSO channel measured based different RZ percentage base band form duty cycle coding with the assistance of NRZ modulation techniques is demonstrated. The lighted based band form can be used for the modulation of the based band electrical signal form based on the RZ percentage duty cycle coding with the assistance of NRZ for both linear measured multimode fiber and FSO measured channel.
366244,10.1515/joc-2022-0117,High-speed passive optical networks performance signature in downstream direction based on the engagement of both nonlinear cross-phase modulation (XPM) and cross-gain modulation (XGM) techniques,"This work clarified the engagement of both nonlinear XPM/XGM in conventional band applications with the wide band traveling semiconductor optical amplifiers (WBTWSOAs) for passive optical network applications in downstream directions. The max. Q, total output power versus up/down wavelength conversion by using cascaded XPM with XGM at 10 Gbps are simulated. Besides, the max. Q Factor, conversion efficiency, and total optical power (TOP) variations are clarified in relation to bit rate variations for cascaded CPM&XGM and CPM, XGM stages. Moreover, the enhancement percentage ratio (EPR) in Q factor and TOP are analyzed and demonstrated versus bit rate variations for cascaded CPM&XGM stage over both CPM stage and XGM stage. The study emphasized the network reach can be extended to 80 km with available maximum data rates up to 250 Gb/s with power budget of 28.65 dB based on the cascaded CPM&XGM technique."
366250,10.1515/joc-2023-0024,The efficient employment of the space division multiplexing technique with OADMs for more flexibility and scalability in optical systems,The optical add drop multiplexers (OADMs) to be modeled and analyzed depends up on the simulation variables are demonstrated. Transmitted power per channel variations are studied against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. Received power from each channel variations are demonstrated against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. The bit error rate variations are clarified against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. The optical link map through fiber cable core is clarified. Total pulse broadening variations are illustrated against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. The lighted signal/noise ratio variations are demonstrated against both receiver bandwidth and number of transmitted channels at transmission distance of 200 km and temperature of 25 °C. Channel capacity variations are also demonstrated against both receiver bandwidth and number of transmitted channels at transmission distance of 200 km and temperature of 25 °C.
366253,10.1515/joc-2023-0017,Simulative study of vertical cavity with distributed feedback optical sources coupling to fiber systems evaluation,"This paper has demonstrated the simulative study of vertical cavity with distributed feedback light sources coupling to the fiber systems. The simulative study of piezoresistive, capacitive and piezoelectric sensing for micro electro mechanical system has been clarified. The span against the diaphragm thickness for the square diaphragm, round diaphragm, a round bossed diaphragm and rectangular diaphragm is clarified. Acceleration against displacement for a capacitive accelerometer for step signal based on signal sided and double sided is reported. Besides, acceleration against max pulse time for a capacitive accelerometer is outlined. The frequency response plot for a piezoelectric accelerometer under longitudinal load and for thin film based piezoelectric accelerometer is demonstrated based on MEMSolver simulation software version 3.3."
366256,10.1515/joc-2022-0260,Performance signature of transceiver communication system based on the cascade uniform fiber Bragg grating devices,This paper presented the high performance signature of transceiver fiber system based on cascade uniform fiber Bragg grating devices. This model has a data rate of 20 Gb/s extended along optical fiber length of 10 km that amplified with an optical EDFA amplifiers at 5 m length. The presented study clarified max. Q of 20.33 compared to the previous models at the value of 8.66. The electrical visualizer measured the total power at the receiver that is 9.564 dBm at the previous model and 23.347 dBm at the presented model. Therefore the total power at the receiver increased by 2.44 times at the presented model and the max. Q also upgraded by 2.96 times at the presented model.
366269,10.1515/joc-2022-0124,Electro-optic power/signal quality optimization based on the interaction between electro-optic modulators and electrical filters,"This paper clarifies the effects of electrical filters with electro-optic modulators variations on the power/signal quality optimization and minimum data error rates reduction. The electro-optic modulators that are namely Mach Zehnder modulator, absorption modulator measured, single-drive Mach Zehnder modulator measured, and electro-absorption modulator. In addition to the filters are employed low pass (LP) Gaussian filter, LP Bessel filter, LP Butterworth filter, and LP Chebyshev filter. The hybrid combination between these modulators at the Tx. and the filters at the Rx. side give the chance to set the best candidate combinations from these devices for the power and signal quality optimization."
366271,10.1515/joc-2023-0022,Conventional arrayed waveguide grating (CAWG) devices for high stability and low insertion loss in near infrared wavelength band,"This study has presented the different suggested compounds based (CAWG) like silicon dioxide (SiO2), lithium niobate (LiNbO3) and gallium aluminum arsenide (Ga(1-x)Al(x)As) taking into consideration their operating wavelength range, their operating temperature range, their physical properties, and also their ability to be used in the manufacture of optical devices. The optimum performance was given in case of using the following materials such as SiO2, LiNbO3 and Ga(1-x)Al(x)As materials, so these materials have been used as a proposed materials based CAWG devices, which have been investigated for high stability and low insertion loss in near infrared wavelength band. The comparison between these proposed materials are clarified through the design parameters of CAWG device such as the order of diffraction (m), path length adjacent waveguides difference (ΔL), focal length (L

f
), free spectral range (FSR), max no. of I/O wavelength channels (N
max), and arrayed waveguides (P) number."
366275,10.1515/joc-2022-0104,Nonlinear wavelength conversion cross phase modulation in fiber systems based on directly modulated laser measured,This study has clarified the simulation of the nonlinear cross phase modulation (CPM) performance signature in optical fiber telecommunication systems. We have been clarified the max Q factor in relation to Cross phase shift modulation for the previous models and proposed model. The optimum optical power varied with spectral time and wavelength variation that is simulated for 90° cross phase shift modulation. Optimum total optical and electrical signal power is demonstrated for 90° Cross phase shift modulation. The max signal quality factor and min BER are assured for various degrees based on cross phase shift modulation. In addition to the optimum signal quality factor is emphasized for 90° Cross phase shift modulation.
366282,10.1515/joc-2022-0245,Optimization of the performance parameters of the Giga passive optical networks for high transmission data rates with various modulation schemes,"This article has demonstrated the performance parameters optimization of the Giga passive optical networks (PONs) can enhanced with high transmission data rates with various modulation schemes. These modulation schemes are Mach–Zehnder modulator (MZM), electroabsorption modulator (EAM), amplitude modulator (AM), dual drive MZM measured (DDMZMM), electroabsorption modulator measured (EAMM), and LiNb MZM. The network reach can be extended to 30 km with 20 Gb/s. Maxi Q and mini bit error rate can be measured at both PIN and APD receivers. The study has emphasized AM modulation scheme is the best candidate modulation scheme for upgrading the network performance efficiency. LiNb MZM is the worst modulation scheme for the estimation of PONs performance. Optical power signals after fiber optic channel based different modulation schemes are clarified. EAM modulation scheme is the best technique for upgrading optical power signal through the network reach."
